,num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_fall_les,edad_fall_les,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc,fall_les,zona_ocu,year,marca_vehi,muni_ocu
24,6548,20,12,7,18,1,1,1,1,1,2,1,17,9999,1,2,99,2009,99,-1
25,2733,21,5,4,19,4,2,1,1,1,2,1,6,1999,1,2,99,2009,99,-1
26,2191,19,4,7,22,1,1,1,1,1,2,1,99,9999,1,2,99,2009,99,-1
27,5873,8,11,7,0,11,2,2,1,1,2,3,2,1998,3,2,99,2009,99,-1
28,6150,29,11,7,1,9,2,2,1,1,2,3,2,9999,4,2,99,2009,99,-1
29,5832,5,11,4,6,18,2,2,1,1,2,1,4,2000,1,2,99,2009,99,-1
30,2435,3,5,7,7,1,1,2,1,1,2,7,99,9999,2,2,99,2009,99,-1
31,13,1,1,4,8,5,2,2,1,1,2,1,14,1983,3,2,99,2009,99,-1
32,3524,10,7,5,8,14,2,2,1,1,2,3,6,1975,3,2,99,2009,99,-1
33,3535,10,7,5,8,14,2,2,1,1,2,3,6,1975,3,2,99,2009,99,-1
34,5174,24,9,4,9,3,2,2,1,1,2,7,99,9999,1,2,99,2009,99,-1
35,3847,1,8,6,10,1,1,2,1,1,2,1,11,2001,1,2,99,2009,99,-1
36,4204,1,8,6,10,1,1,2,1,1,2,1,11,2001,1,2,99,2009,99,-1
37,4340,1,8,6,10,1,1,2,1,1,2,1,11,2001,1,2,99,2009,99,-1
38,6305,11,12,5,10,11,2,2,1,1,2,10,99,9999,1,2,99,2009,99,-1
39,4915,6,9,7,13,1,1,2,1,1,2,1,9,1983,1,2,99,2009,99,-1
40,3409,3,7,5,14,10,2,2,1,1,2,1,3,9999,2,2,99,2009,99,-1
41,4856,1,9,2,14,14,1,2,1,1,2,3,9,1983,1,2,99,2009,99,-1
42,2081,12,4,7,14,1,1,2,1,1,2,4,5,9999,1,2,99,2009,99,-1
43,5308,1,10,4,15,15,2,2,1,1,2,9,6,2004,3,2,99,2009,99,-1
44,666,4,2,3,15,16,1,2,1,1,2,10,1,1985,1,2,99,2009,99,-1
45,6783,31,12,4,16,8,2,2,1,1,2,3,3,9999,3,2,99,2009,99,-1
46,3275,22,6,1,16,16,2,2,1,1,2,3,11,1984,3,2,99,2009,99,-1
47,1814,5,4,7,16,22,1,2,1,1,2,3,14,1999,3,2,99,2009,99,-1
48,5353,4,10,7,16,6,1,2,1,1,2,9,5,9999,1,2,99,2009,99,-1
49,1864,7,4,2,17,6,2,2,1,1,2,2,99,9999,2,2,99,2009,99,-1
50,1230,2,3,1,17,13,2,2,1,1,2,3,9,9999,2,2,99,2009,99,-1
51,1231,2,3,1,17,13,2,2,1,1,2,3,9,9999,2,2,99,2009,99,-1
52,6082,25,11,3,17,7,2,2,1,1,2,3,2,9999,1,2,99,2009,99,-1
53,783,9,2,1,20,14,2,2,1,1,2,3,3,9999,2,2,99,2009,99,-1
54,6772,31,12,4,20,3,2,2,1,1,2,3,1,1995,1,2,99,2009,99,-1
55,5002,12,9,6,21,8,2,2,1,1,2,2,4,9999,4,2,99,2009,99,-1
56,1732,30,3,1,0,1,1,1,2,1,2,1,11,1996,1,2,99,2009,99,-1
57,6575,21,12,1,0,18,2,1,2,1,2,2,6,9999,4,2,99,2009,99,-1
58,1631,23,3,1,3,1,1,1,2,1,2,7,2,9999,4,2,99,2009,99,-1
59,634,4,2,3,5,6,2,1,2,1,2,7,6,1991,2,2,99,2009,99,-1
60,1967,11,4,6,6,22,2,1,2,1,2,7,1,9999,3,2,99,2009,99,-1
61,3371,30,6,2,6,12,1,1,2,1,2,9,2,2006,1,2,99,2009,99,-1
62,5184,24,9,4,8,1,2,1,2,1,2,1,4,1989,1,2,99,2009,99,-1
63,1154,27,2,5,8,9,2,1,2,1,2,3,1,9999,3,2,99,2009,99,-1
64,5920,14,11,6,10,4,2,1,2,1,2,3,99,1986,3,2,99,2009,99,-1
65,1709,28,3,6,10,17,2,1,2,1,2,3,99,9999,1,2,99,2009,99,-1
66,6272,8,12,2,11,14,2,1,2,1,2,3,3,9999,3,2,99,2009,99,-1
67,6427,16,12,3,11,1,2,1,2,1,2,3,9,1981,1,2,99,2009,99,-1
68,2749,22,5,5,11,16,2,1,2,1,2,9,3,9999,4,2,99,2009,99,-1
69,1,1,1,4,12,1,1,1,2,1,2,12,7,9999,1,2,99,2009,99,-1
70,5113,20,9,7,13,12,2,1,2,1,2,4,99,9999,2,2,99,2009,99,-1
71,715,5,2,4,13,1,2,1,2,1,2,7,7,9999,1,2,99,2009,99,-1
72,3407,3,7,5,14,10,2,1,2,1,2,1,3,9999,2,2,99,2009,99,-1
73,1091,23,2,1,14,15,2,1,2,1,2,9,6,9999,2,2,99,2009,99,-1
74,5696,25,10,7,16,2,2,1,2,1,2,2,13,2004,1,2,99,2009,99,-1
75,1409,13,3,5,16,1,2,1,2,1,2,3,99,9999,3,2,99,2009,99,-1
76,2411,1,5,5,17,1,2,1,2,1,2,1,4,1999,1,2,99,2009,99,-1
77,1527,17,3,2,17,10,2,1,2,1,2,3,5,9999,3,2,99,2009,99,-1
78,1530,17,3,2,17,10,2,1,2,1,2,3,5,9999,3,2,99,2009,99,-1
79,3019,11,6,4,17,20,2,1,2,1,2,3,99,9999,3,2,99,2009,99,-1
80,1228,2,3,1,17,13,2,1,2,1,2,3,9,9999,2,2,99,2009,99,-1
81,72,2,1,5,19,4,2,1,2,1,2,3,99,9999,1,2,99,2009,99,-1
82,1544,17,3,2,20,17,1,1,2,1,2,10,1,9999,1,2,99,2009,99,-1
83,1774,2,4,4,21,17,2,1,2,1,2,9,99,9999,2,2,99,2009,99,-1
84,3726,24,7,5,22,1,1,1,2,1,2,3,6,2007,1,2,99,2009,99,-1
85,3728,24,7,5,22,1,1,1,2,1,2,3,6,2007,1,2,99,2009,99,-1
86,1139,27,2,5,22,6,2,1,2,1,2,11,2,9999,1,2,99,2009,99,-1
87,1140,27,2,5,22,6,2,1,2,1,2,11,2,9999,1,2,99,2009,99,-1
88,3071,11,6,4,3,13,2,2,2,1,2,7,99,9999,2,2,99,2009,99,-1
89,1903,9,4,4,4,12,2,2,2,1,2,2,6,1996,4,2,99,2009,99,-1
90,6188,2,12,3,6,10,2,2,2,1,2,12,1,1996,1,2,99,2009,99,-1
91,6109,26,11,4,7,14,2,2,2,1,2,12,99,1981,3,2,99,2009,99,-1
92,5183,24,9,4,8,1,2,2,2,1,2,1,4,1989,1,2,99,2009,99,-1
93,1156,27,2,5,8,9,2,2,2,1,2,3,1,9999,3,2,99,2009,99,-1
94,2461,3,5,7,8,13,1,2,2,1,2,3,4,1994,1,2,99,2009,99,-1
95,5921,14,11,6,10,4,2,2,2,1,2,3,99,1986,3,2,99,2009,99,-1
96,283,14,1,3,10,4,2,2,2,1,2,7,2,1989,1,2,99,2009,99,-1
97,1345,8,3,7,11,2,2,2,2,1,2,1,2,9999,4,2,99,2009,99,-1
98,2662,17,5,7,12,16,2,2,2,1,2,3,99,1980,4,2,99,2009,99,-1
99,233,13,1,2,12,17,2,2,2,1,2,3,2,1992,3,2,99,2009,99,-1
100,3916,3,8,1,12,13,2,2,2,1,2,9,4,2007,1,2,99,2009,99,-1
101,4273,3,8,1,12,13,2,2,2,1,2,9,4,2007,1,2,99,2009,99,-1
102,4409,3,8,1,12,13,2,2,2,1,2,9,4,2007,1,2,99,2009,99,-1
103,2531,7,5,4,13,19,2,2,2,1,2,1,12,1992,1,2,99,2009,99,-1
104,5841,6,11,5,14,22,2,2,2,1,2,1,1,1990,1,2,99,2009,99,-1
105,2971,6,6,6,16,1,1,2,2,1,2,1,99,9999,1,2,99,2009,99,-1
106,6279,9,12,3,16,20,2,2,2,1,2,1,99,9999,1,2,99,2009,99,-1
107,2334,26,4,7,17,14,2,2,2,1,2,3,5,1987,4,2,99,2009,99,-1
108,2347,26,4,7,17,16,2,2,2,1,2,3,1,9999,1,2,99,2009,99,-1
109,5282,30,9,3,18,6,2,2,2,1,2,2,2,9999,3,2,99,2009,99,-1
110,4139,16,8,7,18,17,2,2,2,1,2,2,99,9999,1,2,99,2009,99,-1
111,4632,16,8,7,18,17,2,2,2,1,2,2,99,9999,1,2,99,2009,99,-1
112,5928,15,11,7,19,2,2,2,2,1,2,1,99,2004,1,2,99,2009,99,-1
113,6115,27,11,5,19,12,2,2,2,1,2,3,99,9999,2,2,99,2009,99,-1
114,307,16,1,5,20,20,2,2,2,1,2,4,3,9999,1,2,99,2009,99,-1
115,61,2,1,5,21,1,1,2,2,1,2,1,99,1990,1,2,99,2009,99,-1
116,5251,28,9,1,21,1,1,2,2,1,2,4,99,9999,4,2,99,2009,99,-1
117,2725,21,5,4,21,5,2,2,2,1,2,9,9,1984,1,2,99,2009,99,-1
118,2192,19,4,7,22,1,1,2,2,1,2,1,99,9999,1,2,99,2009,99,-1
119,143,9,1,5,23,4,2,2,2,1,2,3,6,1986,1,2,99,2009,99,-1
120,6577,21,12,1,0,18,2,1,3,1,2,2,6,9999,4,2,99,2009,99,-1
121,6506,18,12,5,5,2,2,1,3,1,2,3,2,1999,2,2,99,2009,99,-1
122,1970,11,4,6,6,22,2,1,3,1,2,7,1,9999,3,2,99,2009,99,-1
123,1971,11,4,6,6,22,2,1,3,1,2,7,1,9999,3,2,99,2009,99,-1
124,5365,6,10,2,7,1,1,1,3,1,2,1,2,9999,2,2,99,2009,99,-1
125,480,26,1,1,7,8,2,1,3,1,2,3,6,9999,1,2,99,2009,99,-1
126,481,26,1,1,7,8,2,1,3,1,2,3,6,9999,1,2,99,2009,99,-1
127,1574,20,3,5,12,12,1,1,3,1,2,3,99,9999,2,2,99,2009,99,-1
128,3297,23,6,2,12,7,2,1,3,1,2,5,2,2002,1,2,99,2009,99,-1
129,294,15,1,4,12,4,2,1,3,1,2,7,7,9999,4,2,99,2009,99,-1
130,3221,19,6,5,13,12,2,1,3,1,2,3,5,1994,4,2,99,2009,99,-1
131,5783,1,11,7,13,5,2,1,3,1,2,3,5,1986,1,2,99,2009,99,-1
132,988,21,2,6,13,9,2,1,3,1,2,4,7,9999,1,2,99,2009,99,-1
133,1561,19,3,4,13,6,2,1,3,1,2,14,99,9999,1,2,99,2009,99,-1
134,4985,11,9,5,14,3,2,1,3,1,2,3,1,9999,1,2,99,2009,99,-1
135,5617,20,10,2,16,9,2,1,3,1,2,1,4,2007,1,2,99,2009,99,-1
136,1532,17,3,2,17,10,2,1,3,1,2,3,5,9999,3,2,99,2009,99,-1
137,1229,2,3,1,17,13,2,1,3,1,2,3,9,9999,2,2,99,2009,99,-1
138,3209,19,6,5,17,12,2,1,3,1,2,9,4,9999,2,2,99,2009,99,-1
139,1493,15,3,7,17,1,1,1,3,1,2,12,9,9999,2,2,99,2009,99,-1
140,2466,3,5,7,19,6,2,1,3,1,2,2,2,1987,1,2,99,2009,99,-1
141,462,25,1,7,20,1,1,1,3,1,2,2,99,9999,1,2,99,2009,99,-1
142,745,7,2,6,0,7,2,2,3,1,2,9,4,9999,2,2,99,2009,99,-1
143,795,10,2,2,8,17,2,2,3,1,2,3,1,9999,1,2,99,2009,99,-1
144,2464,3,5,7,8,13,1,2,3,1,2,3,4,1994,1,2,99,2009,99,-1
145,6359,15,12,2,10,16,1,2,3,1,2,2,10,1983,1,2,99,2009,99,-1
146,737,7,2,6,11,14,2,2,3,1,2,9,99,9999,2,2,99,2009,99,-1
147,3258,21,6,7,13,19,2,2,3,1,2,1,2,9999,1,2,99,2009,99,-1
148,2335,26,4,7,17,14,2,2,3,1,2,3,5,1987,4,2,99,2009,99,-1
149,1528,17,3,2,17,10,2,2,3,1,2,3,5,9999,3,2,99,2009,99,-1
150,1821,5,4,7,18,14,1,2,3,1,2,3,99,9999,2,2,99,2009,99,-1
151,2962,6,6,6,18,14,2,2,3,1,2,3,1,1987,1,2,99,2009,99,-1
152,5650,22,10,4,18,5,2,2,3,1,2,7,8,9999,3,2,99,2009,99,-1
153,4017,8,8,6,18,1,1,2,3,1,2,8,2,1998,1,2,99,2009,99,-1
154,4510,8,8,6,18,1,1,2,3,1,2,8,2,1998,1,2,99,2009,99,-1
155,2233,20,4,1,19,4,2,2,3,1,2,4,99,9999,1,2,99,2009,99,-1
156,615,2,2,1,22,3,2,2,3,1,2,1,13,9999,1,2,99,2009,99,-1
157,1255,3,3,2,22,17,2,2,3,1,2,7,2,9999,3,2,99,2009,99,-1
158,6668,27,12,7,999,1,1,1,4,1,2,1,4,9999,1,2,99,2009,99,-1
159,738,7,2,6,0,7,2,1,4,1,2,9,4,9999,2,2,99,2009,99,-1
160,6643,25,12,5,3,1,1,1,4,1,2,1,99,9999,1,2,99,2009,99,-1
161,2016,11,4,6,5,1,2,1,4,1,2,9,9,1999,1,2,99,2009,99,-1
162,2017,11,4,6,5,1,2,1,4,1,2,9,9,1999,1,2,99,2009,99,-1
163,12,1,1,4,8,5,2,1,4,1,2,1,14,1983,3,2,99,2009,99,-1
164,2463,3,5,7,8,13,1,1,4,1,2,3,4,1994,1,2,99,2009,99,-1
165,3700,21,7,2,10,10,1,1,4,1,2,3,6,1997,1,2,99,2009,99,-1
166,2195,19,4,7,11,19,2,1,4,1,2,3,11,1989,4,2,99,2009,99,-1
167,5294,1,10,4,11,5,2,1,4,1,2,4,6,9999,1,2,99,2009,99,-1
168,1653,25,3,3,11,12,2,1,4,1,2,4,99,9999,1,2,99,2009,99,-1
169,6782,31,12,4,16,8,2,1,4,1,2,3,3,9999,3,2,99,2009,99,-1
170,2793,24,5,7,16,12,2,1,4,1,2,9,2,2000,1,2,99,2009,99,-1
171,2410,1,5,5,17,1,2,1,4,1,2,1,4,1999,1,2,99,2009,99,-1
172,2469,3,5,7,17,1,2,1,4,1,2,3,2,9999,2,2,99,2009,99,-1
173,47,1,1,4,17,9,2,1,4,1,2,3,1,9999,1,2,99,2009,99,-1
174,2691,18,5,1,18,10,2,1,4,1,2,3,6,1980,3,2,99,2009,99,-1
175,2387,1,5,5,19,5,2,1,4,1,2,1,3,1993,1,2,99,2009,99,-1
176,844,13,2,5,19,1,1,1,4,1,2,1,4,9999,1,2,99,2009,99,-1
177,2359,28,4,2,19,1,1,1,4,1,2,4,99,9999,1,2,99,2009,99,-1
178,6554,20,12,7,19,11,2,1,4,1,2,14,1,2008,1,2,99,2009,99,-1
179,6221,5,12,6,20,3,2,1,4,1,2,3,4,1994,1,2,99,2009,99,-1
180,6634,24,12,4,0,13,2,2,4,1,2,4,99,9999,2,2,99,2009,99,-1
181,3064,11,6,4,3,13,2,2,4,1,2,7,99,9999,2,2,99,2009,99,-1
182,3069,11,6,4,3,13,2,2,4,1,2,7,99,9999,2,2,99,2009,99,-1
183,6768,31,12,4,8,20,2,2,4,1,2,3,99,9999,3,2,99,2009,99,-1
184,3792,28,7,2,8,20,2,2,4,1,2,4,5,2006,1,2,99,2009,99,-1
185,5885,8,11,7,9,14,2,2,4,1,2,3,2,9999,4,2,99,2009,99,-1
186,2742,22,5,5,9,9,2,2,4,1,2,3,2,1992,1,2,99,2009,99,-1
187,6271,8,12,2,11,14,2,2,4,1,2,3,3,9999,3,2,99,2009,99,-1
188,6285,9,12,3,11,16,2,2,4,1,2,5,2,9999,2,2,99,2009,99,-1
189,1960,11,4,6,12,16,2,2,4,1,2,1,2,9999,4,2,99,2009,99,-1
190,1874,7,4,2,12,18,2,2,4,1,2,1,3,1995,1,2,99,2009,99,-1
191,6481,17,12,4,14,1,2,2,4,1,2,7,2,9999,1,2,99,2009,99,-1
192,2640,16,5,6,15,13,2,2,4,1,2,9,99,9999,1,2,99,2009,99,-1
193,2705,18,5,1,17,11,2,2,4,1,2,2,6,9999,2,2,99,2009,99,-1
194,5024,14,9,1,18,2,1,2,4,1,2,1,5,1999,1,2,99,2009,99,-1
195,5649,22,10,4,18,5,2,2,4,1,2,7,8,9999,3,2,99,2009,99,-1
196,119,6,1,2,19,18,2,2,4,1,2,3,5,1994,2,2,99,2009,99,-1
197,3703,21,7,2,20,18,2,2,4,1,2,6,99,9999,1,2,99,2009,99,-1
198,829,12,2,4,23,13,2,2,4,1,2,3,99,9999,2,2,99,2009,99,-1
199,1968,11,4,6,6,22,2,1,5,2,2,7,1,9999,3,2,99,2009,99,-1
200,483,26,1,1,7,8,2,1,5,2,2,3,6,9999,1,2,99,2009,99,-1
201,4697,20,8,4,10,1,1,1,5,2,2,9,4,9999,1,2,99,2009,99,-1
202,4892,4,9,5,13,17,2,1,5,2,2,2,5,9999,2,2,99,2009,99,-1
203,3219,19,6,5,13,12,2,1,5,2,2,3,5,1994,4,2,99,2009,99,-1
204,6325,13,12,7,14,22,2,1,5,2,2,3,4,9999,2,2,99,2009,99,-1
205,686,5,2,4,14,11,2,1,5,2,2,4,7,9999,1,2,99,2009,99,-1
206,2627,15,5,5,14,1,1,1,5,2,2,10,1,2007,4,2,99,2009,99,-1
207,6741,28,12,1,16,1,2,1,5,2,2,7,7,9999,3,2,99,2009,99,-1
208,1526,17,3,2,17,10,2,1,5,2,2,3,5,9999,3,2,99,2009,99,-1
209,1533,17,3,2,17,10,2,1,5,2,2,3,5,9999,3,2,99,2009,99,-1
210,1232,2,3,1,17,13,2,1,5,2,2,3,9,9999,2,2,99,2009,99,-1
211,6549,20,12,7,18,1,1,1,5,2,2,1,17,9999,1,2,99,2009,99,-1
212,1456,15,3,7,19,5,2,1,5,2,2,4,3,9999,1,2,99,2009,99,-1
213,1138,27,2,5,22,6,2,1,5,2,2,11,2,9999,1,2,99,2009,99,-1
214,3667,18,7,6,5,1,2,2,5,2,2,2,2,2005,1,2,99,2009,99,-1
215,2321,26,4,7,6,12,2,2,5,2,2,3,3,1991,4,2,99,2009,99,-1
216,2462,3,5,7,8,13,1,2,5,2,2,3,4,1994,1,2,99,2009,99,-1
217,3945,6,8,4,13,1,1,2,5,2,2,11,2,9999,1,2,99,2009,99,-1
218,4302,6,8,4,13,1,1,2,5,2,2,11,2,9999,1,2,99,2009,99,-1
219,4438,6,8,4,13,1,1,2,5,2,2,11,2,9999,1,2,99,2009,99,-1
220,182,11,1,7,14,13,2,2,5,2,2,3,3,1998,1,2,99,2009,99,-1
221,2098,13,4,1,14,11,2,2,5,2,2,3,6,9999,1,2,99,2009,99,-1
222,1026,21,2,6,15,1,1,2,5,2,2,1,99,9999,1,2,99,2009,99,-1
223,5547,17,10,6,16,9,2,2,5,2,2,3,1,1997,3,2,99,2009,99,-1
224,5549,17,10,6,16,9,2,2,5,2,2,3,1,1997,3,2,99,2009,99,-1
225,48,1,1,4,17,9,2,2,5,2,2,3,1,9999,1,2,99,2009,99,-1
226,4845,31,8,1,17,5,1,2,5,2,2,3,3,9999,1,2,99,2009,99,-1
227,797,10,2,2,18,7,2,2,5,2,2,3,1,9999,2,2,99,2009,99,-1
228,5927,15,11,7,19,2,2,2,5,2,2,1,99,2004,1,2,99,2009,99,-1
229,784,9,2,1,20,14,2,2,5,2,2,3,3,9999,2,2,99,2009,99,-1
230,3902,2,8,7,20,19,2,2,5,2,2,3,99,9999,1,2,99,2009,99,-1
231,4259,2,8,7,20,19,2,2,5,2,2,3,99,9999,1,2,99,2009,99,-1
232,4395,2,8,7,20,19,2,2,5,2,2,3,99,9999,1,2,99,2009,99,-1
233,6503,18,12,5,21,13,2,2,5,2,2,3,5,1989,1,2,99,2009,99,-1
234,1142,27,2,5,22,6,2,2,5,2,2,11,2,9999,1,2,99,2009,99,-1
235,124,7,1,3,23,1,1,2,5,2,2,1,5,9999,1,2,99,2009,99,-1
236,4116,16,8,7,2,1,1,1,6,2,2,1,9,1997,1,2,99,2009,99,-1
237,4609,16,8,7,2,1,1,1,6,2,2,1,9,1997,1,2,99,2009,99,-1
238,4954,9,9,3,9,12,2,1,6,2,2,3,99,9999,3,2,99,2009,99,-1
239,5168,24,9,4,9,3,2,1,6,2,2,7,99,9999,1,2,99,2009,99,-1
240,2149,18,4,6,11,1,1,1,6,2,2,1,4,9999,1,2,99,2009,99,-1
241,5010,13,9,7,11,10,2,1,6,2,2,3,5,1983,3,2,99,2009,99,-1
242,1607,22,3,7,13,9,1,1,6,2,2,1,6,1995,1,2,99,2009,99,-1
243,3946,6,8,4,13,1,1,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
244,3947,6,8,4,13,1,1,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
245,4303,6,8,4,13,1,1,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
246,4304,6,8,4,13,1,1,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
247,4439,6,8,4,13,1,1,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
248,4440,6,8,4,13,1,1,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
249,4877,2,9,3,14,14,2,1,6,2,2,3,7,1982,3,2,99,2009,99,-1
250,453,25,1,7,14,15,2,1,6,2,2,3,4,1991,2,2,99,2009,99,-1
251,5601,18,10,7,15,20,2,1,6,2,2,3,1,9999,4,2,99,2009,99,-1
252,3866,1,8,6,16,1,2,1,6,2,2,3,1,1986,1,2,99,2009,99,-1
253,4223,1,8,6,16,1,2,1,6,2,2,3,1,1986,1,2,99,2009,99,-1
254,4359,1,8,6,16,1,2,1,6,2,2,3,1,1986,1,2,99,2009,99,-1
255,5357,4,10,7,16,6,1,1,6,2,2,9,5,9999,1,2,99,2009,99,-1
256,1529,17,3,2,17,10,2,1,6,2,2,3,5,9999,3,2,99,2009,99,-1
257,1536,17,3,2,17,10,2,1,6,2,2,3,5,9999,3,2,99,2009,99,-1
258,5638,21,10,3,17,12,2,1,6,2,2,3,99,9999,2,2,99,2009,99,-1
259,6603,22,12,2,17,9,2,1,6,2,2,7,1,1984,2,2,99,2009,99,-1
260,5351,4,10,7,18,6,2,1,6,2,2,3,1,1987,1,2,99,2009,99,-1
261,981,21,2,6,18,19,2,1,6,2,2,4,99,9999,1,2,99,2009,99,-1
262,5746,30,10,5,18,14,2,1,6,2,2,11,99,9999,2,2,99,2009,99,-1
263,2505,6,5,3,19,1,1,1,6,2,2,1,6,1998,1,2,99,2009,99,-1
264,6777,31,12,4,19,11,2,1,6,2,2,1,7,9999,1,2,99,2009,99,-1
265,6117,27,11,5,19,12,2,1,6,2,2,3,99,9999,2,2,99,2009,99,-1
266,3741,25,7,6,22,5,2,1,6,2,2,1,99,9999,1,2,99,2009,99,-1
267,1141,27,2,5,22,6,2,1,6,2,2,11,2,9999,1,2,99,2009,99,-1
268,961,19,2,4,0,14,2,2,6,2,2,3,5,1987,3,2,99,2009,99,-1
269,3072,11,6,4,3,13,2,2,6,2,2,7,99,9999,2,2,99,2009,99,-1
270,2023,11,4,6,5,1,2,2,6,2,2,9,9,1999,1,2,99,2009,99,-1
271,6092,26,11,4,7,14,2,2,6,2,2,12,99,1981,3,2,99,2009,99,-1
272,5148,24,9,4,9,3,2,2,6,2,2,7,99,9999,1,2,99,2009,99,-1
273,5767,31,10,6,9,14,2,2,6,2,2,7,99,9999,1,2,99,2009,99,-1
274,1718,28,3,6,10,17,2,2,6,2,2,3,99,9999,1,2,99,2009,99,-1
275,1873,7,4,2,12,18,2,2,6,2,2,1,3,1995,1,2,99,2009,99,-1
276,3259,21,6,7,13,19,2,2,6,2,2,1,2,9999,1,2,99,2009,99,-1
277,530,30,1,5,13,1,2,2,6,2,2,1,11,2001,1,2,99,2009,99,-1
278,531,30,1,5,13,1,2,2,6,2,2,1,11,2001,1,2,99,2009,99,-1
279,1178,1,3,7,13,1,2,2,6,2,2,2,2,9999,1,2,99,2009,99,-1
280,4981,11,9,5,14,3,2,2,6,2,2,3,1,9999,1,2,99,2009,99,-1
281,5249,28,9,1,15,11,2,2,6,2,2,3,1,9999,1,2,99,2009,99,-1
282,3273,22,6,1,16,16,2,2,6,2,2,3,11,1984,3,2,99,2009,99,-1
283,2377,30,4,4,16,5,2,2,6,2,2,4,5,9999,1,2,99,2009,99,-1
284,2995,8,6,1,17,17,2,2,6,2,2,4,99,9999,1,2,99,2009,99,-1
285,3339,28,6,7,17,1,1,2,6,2,2,9,99,9999,1,2,99,2009,99,-1
286,1191,1,3,7,18,9,1,2,6,2,2,2,2,1997,2,2,99,2009,99,-1
287,1887,8,4,3,23,1,1,2,6,2,2,1,99,9999,1,2,99,2009,99,-1
288,1973,11,4,6,6,22,2,1,7,2,2,7,1,9999,3,2,99,2009,99,-1
289,11,1,1,4,8,5,2,1,7,2,2,1,14,1983,3,2,99,2009,99,-1
290,28,1,1,4,10,11,2,1,7,2,2,3,6,9999,3,2,99,2009,99,-1
291,1567,19,3,4,10,13,2,1,7,2,2,3,9,1994,1,2,99,2009,99,-1
292,1387,12,3,4,10,1,1,1,7,2,2,10,1,2008,1,2,99,2009,99,-1
293,3296,23,6,2,12,7,2,1,7,2,2,5,2,2002,1,2,99,2009,99,-1
294,1179,1,3,7,13,1,2,1,7,2,2,2,2,9999,1,2,99,2009,99,-1
295,2043,11,4,6,13,8,2,1,7,2,2,3,1,9999,3,2,99,2009,99,-1
296,2851,29,5,5,14,21,2,1,7,2,2,9,2,2009,1,2,99,2009,99,-1
297,2416,1,5,5,15,1,1,1,7,2,2,1,3,9999,1,2,99,2009,99,-1
298,5408,10,10,6,15,9,2,1,7,2,2,3,11,9999,1,2,99,2009,99,-1
