num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad,edad_m1,condicion_pil,tipo_vehi,color_vehi,causa_acc
130,17,1,2,20,22,2214,2,99,1,65,10,1,1,6,2,1
131,17,1,2,12,9,902,2,99,1,30,5,1,2,3,9,3
132,18,1,3,21,1,101,1,1,1,24,3,1,1,1,5,1
133,18,1,3,2,1,113,2,99,1,22,3,1,1,4,5,2
134,18,1,3,23,1,102,2,99,1,27,4,1,1,3,4,1
135,18,1,3,13,21,2107,1,99,1,22,3,1,1,4,1,1
136,18,1,3,8,6,606,2,99,1,40,7,1,1,2,4,3
137,18,1,3,18,6,601,2,99,2,50,9,1,9,2,2,4
138,18,1,3,2,10,1001,2,99,9,999,11,9,9,4,5,2
139,18,1,3,17,11,1103,2,99,1,19,2,1,2,14,1,1
140,18,1,3,0,16,1609,2,99,1,39,6,1,1,8,1,2
141,18,1,3,7,18,1801,2,99,1,33,5,1,1,4,99,2
142,18,1,3,10,17,1701,1,99,9,999,11,9,9,4,7,1
143,18,1,3,16,17,1708,1,99,9,999,11,9,9,14,1,4
144,18,1,3,19,17,1705,2,99,9,999,11,9,9,5,99,1
145,18,1,3,6,14,1409,2,99,1,19,2,1,9,5,1,3
146,19,1,4,20,1,101,1,1,1,30,5,1,2,1,99,1
147,19,1,4,3,1,101,1,18,1,22,3,1,9,1,5,2
148,19,1,4,23,1,101,1,18,2,29,4,1,1,1,5,1
149,19,1,4,16,1,101,1,6,1,999,11,1,1,4,3,1
150,19,1,4,0,1,101,1,7,2,41,7,1,9,1,5,3
151,19,1,4,17,6,601,2,99,1,63,10,1,9,3,9,1
152,19,1,4,22,2,205,2,99,1,44,7,1,9,14,1,2
153,19,1,4,18,18,1801,1,99,9,999,11,9,9,3,99,1
154,20,1,5,18,1,108,1,4,1,38,6,1,1,12,1,1
155,20,1,5,18,5,501,1,1,1,35,6,1,1,3,3,1
156,20,1,5,10,5,507,1,99,1,24,3,1,1,14,1,1
157,20,1,5,14,6,608,2,99,1,43,7,1,1,4,5,1
158,20,1,5,14,10,1008,1,99,1,31,5,1,1,9,6,1
159,20,1,5,22,13,1301,1,1,1,56,10,1,1,1,2,1
160,20,1,5,11,16,1601,1,2,1,25,4,1,1,2,2,1
161,20,1,5,17,14,1401,2,99,1,46,8,1,1,3,3,4
162,20,1,5,14,4,406,1,2,1,46,8,1,2,3,11,1
163,21,1,6,21,1,101,1,1,1,29,4,1,1,12,1,1
164,21,1,6,7,1,101,1,9,2,36,6,1,1,1,2,1
165,21,1,6,20,1,101,1,1,1,25,4,1,1,4,3,1
166,21,1,6,18,1,101,1,1,1,32,5,1,1,4,5,2
167,21,1,6,22,1,101,1,6,1,31,5,1,1,1,9,1
168,21,1,6,15,1,101,1,5,2,27,4,1,1,3,6,1
169,21,1,6,2,1,101,1,7,1,26,4,1,2,4,99,1
170,21,1,6,2,1,101,1,11,1,25,4,1,9,3,2,1
171,21,1,6,13,1,101,1,11,1,999,11,1,9,4,5,1
172,21,1,6,15,1,101,1,12,1,41,7,1,1,9,11,1
173,21,1,6,22,1,108,1,1,1,47,8,1,1,3,4,1
174,21,1,6,23,5,501,1,1,1,23,3,1,2,4,1,1
175,21,1,6,19,13,1303,2,99,1,19,2,1,2,1,4,1
176,21,1,6,21,18,1801,1,99,1,40,7,1,9,4,99,1
177,21,1,6,19,4,409,2,99,9,999,11,9,9,7,6,2
178,21,1,6,18,3,304,2,99,1,45,8,1,1,2,4,1
179,22,1,7,18,1,115,1,99,9,999,11,9,9,3,1,3
180,22,1,7,4,5,505,2,99,1,21,3,1,2,1,4,2
181,22,1,7,11,6,601,2,99,1,21,3,1,1,3,3,2
182,22,1,7,2,18,1801,2,99,9,999,11,9,9,99,99,1
183,22,1,7,16,17,1712,2,99,1,38,6,1,9,4,99,3
184,22,1,7,17,17,1708,2,99,1,18,2,1,9,4,5,3
185,22,1,7,11,3,303,2,99,1,28,4,1,9,9,2,1
186,22,1,7,14,3,308,2,99,1,25,4,1,9,9,2,1
187,23,1,1,0,1,101,1,1,2,28,4,1,9,1,2,1
188,23,1,1,6,1,110,2,99,1,30,5,1,9,7,3,1
189,23,1,1,1,1,108,1,6,1,21,3,1,9,4,14,3
190,23,1,1,22,5,501,2,99,1,18,2,1,2,4,1,2
191,23,1,1,16,13,1301,2,99,1,42,7,1,1,1,2,2
192,23,1,1,18,16,1615,2,99,1,44,7,1,9,4,1,1
193,24,1,2,15,1,101,1,11,1,35,6,1,9,7,1,1
194,24,1,2,12,1,110,2,99,1,41,7,1,9,4,1,1
195,24,1,2,12,20,2001,1,4,1,44,7,1,9,4,1,1
196,24,1,2,19,10,1001,2,99,9,999,11,9,9,7,99,1
197,24,1,2,15,16,1601,2,99,1,18,2,1,9,1,5,1
198,25,1,3,8,1,101,1,5,2,33,5,1,1,2,2,1
199,25,1,3,11,16,1601,2,99,1,28,4,1,9,3,1,3
200,25,1,3,13,17,1701,2,99,1,64,10,1,1,3,6,1
201,26,1,4,8,1,101,1,7,1,34,5,1,2,1,4,1
202,26,1,4,22,1,101,1,19,9,999,11,9,9,1,1,1
203,26,1,4,14,20,2001,2,99,1,18,2,1,1,4,6,1
204,26,1,4,12,10,1001,2,99,1,36,6,1,9,3,6,4
205,26,1,4,0,16,1601,2,99,2,35,6,1,9,1,2,2
206,26,1,4,7,7,712,2,99,1,20,3,1,9,3,6,1
207,26,1,4,9,4,401,2,99,1,52,9,1,9,5,3,3
208,27,1,5,8,1,101,1,1,1,69,10,1,1,1,2,1
209,27,1,5,23,1,101,1,9,1,25,4,1,1,4,4,1
210,27,1,5,16,1,113,2,99,1,50,9,1,9,1,3,1
211,27,1,5,21,1,101,1,10,1,23,3,1,1,5,2,1
212,27,1,5,8,21,2101,1,2,1,42,7,1,9,14,1,1
213,27,1,5,17,21,2106,2,99,1,29,4,1,1,3,14,1
214,27,1,5,7,19,1904,2,99,9,999,11,9,9,3,99,2
215,27,1,5,15,6,608,2,99,1,29,4,1,9,4,99,2
216,27,1,5,15,12,1215,2,99,1,44,7,1,2,3,99,3
217,27,1,5,22,16,1609,2,99,9,999,11,9,9,3,99,2
218,27,1,5,19,18,1801,2,99,1,23,3,1,9,4,99,1
219,28,1,6,0,1,101,1,1,1,22,3,1,1,4,3,1
220,28,1,6,0,1,101,1,7,1,20,3,1,9,4,7,1
221,28,1,6,5,1,101,1,7,9,999,11,9,9,1,99,3
222,28,1,6,7,1,108,1,3,9,999,11,9,9,3,4,1
223,28,1,6,11,20,2001,1,99,1,19,2,1,1,9,2,1
224,28,1,6,20,20,2005,2,99,1,35,6,1,9,4,2,2
225,28,1,6,17,5,509,2,99,1,34,5,1,1,2,11,1
226,28,1,6,20,5,508,2,99,1,27,4,1,9,3,2,3
227,28,1,6,2,9,920,1,3,1,33,5,1,2,1,6,1
228,28,1,6,8,9,920,1,99,1,41,7,1,1,9,4,1
229,28,1,6,22,9,901,2,99,1,32,5,1,9,3,3,1
230,28,1,6,8,12,1202,2,99,9,999,11,9,9,9,99,2
231,28,1,6,20,2,208,2,99,1,38,6,1,2,3,1,1
232,28,1,6,15,4,409,2,99,1,50,9,1,2,1,1,1
233,29,1,7,21,1,101,1,10,1,24,3,1,1,1,8,1
234,29,1,7,9,1,114,1,99,1,71,10,1,1,4,1,1
235,29,1,7,1,1,108,1,4,2,31,5,1,1,1,2,1
236,29,1,7,2,1,108,1,2,1,22,3,1,1,4,14,1
237,29,1,7,10,22,2206,2,99,1,42,7,1,9,3,1,1
238,29,1,7,6,21,2102,2,99,9,999,11,9,9,12,7,4
239,29,1,7,18,20,2007,2,99,1,19,2,1,2,1,6,1
240,29,1,7,10,20,2004,2,99,9,999,11,9,9,3,9,4
241,29,1,7,12,5,501,2,99,1,24,3,1,9,1,5,1
242,29,1,7,17,5,513,2,99,2,33,5,1,9,4,99,1
243,29,1,7,16,5,509,2,99,1,25,4,1,9,3,1,1
244,29,1,7,16,5,507,2,99,1,35,6,1,9,4,9,1
245,29,1,7,11,5,509,2,99,1,33,5,1,9,4,99,1
246,29,1,7,22,6,602,2,99,1,55,10,1,2,3,3,1
247,29,1,7,20,10,1008,1,99,1,34,5,1,1,3,5,1
248,29,1,7,21,9,909,2,99,1,34,5,1,1,9,6,1
249,29,1,7,22,9,914,2,99,1,33,5,1,9,4,99,1
250,29,1,7,17,12,1212,2,99,1,36,6,1,2,3,2,2
251,29,1,7,17,12,1201,2,99,1,999,11,1,1,2,6,1
252,29,1,7,19,16,1616,1,99,1,39,6,1,2,3,6,1
253,29,1,7,19,18,1801,2,99,1,29,4,1,1,4,3,1
254,29,1,7,6,4,406,2,99,9,999,11,9,9,7,99,3
255,29,1,7,20,4,415,2,99,1,60,10,1,1,4,99,1
256,29,1,7,20,3,303,2,99,1,37,6,1,1,1,11,1
257,30,1,1,4,1,101,1,1,1,33,5,1,1,1,6,1
258,30,1,1,5,22,2216,2,99,1,32,5,1,9,5,2,1
259,30,1,1,23,19,1905,2,99,1,32,5,1,2,3,5,2
260,30,1,1,11,5,502,2,99,1,34,5,1,1,5,2,2
261,30,1,1,22,10,1002,2,99,1,21,3,1,1,4,99,2
262,30,1,1,14,8,805,1,99,1,31,5,1,1,3,2,3
263,30,1,1,23,16,1601,1,2,1,46,8,1,2,1,7,1
264,30,1,1,2,18,1801,1,99,1,27,4,1,2,4,5,1
265,30,1,1,11,17,1709,2,99,9,999,11,9,9,1,9,1
266,30,1,1,7,14,1416,1,99,1,40,7,1,1,5,99,4
267,30,1,1,22,4,406,2,99,1,57,10,1,1,5,99,1
268,31,1,2,5,1,113,2,99,9,999,11,9,9,3,99,1
269,31,1,2,8,1,117,1,7,1,44,7,1,2,1,1,1
270,31,1,2,13,6,605,2,99,1,28,4,1,9,6,6,4
271,31,1,2,12,10,1002,2,99,1,33,5,1,1,2,4,1
272,31,1,2,19,11,1107,2,99,9,999,11,9,9,3,4,1
273,31,1,2,15,16,1601,1,2,2,22,3,1,9,1,8,1
274,31,1,2,21,17,1709,2,99,1,37,6,1,9,3,5,2
275,31,1,2,19,14,1401,2,99,1,21,3,1,9,1,4,1
276,31,1,2,21,3,306,2,99,1,31,5,1,9,1,3,1
277,31,1,2,17,1,101,1,12,1,25,4,1,9,12,2,1
278,31,1,2,23,3,312,2,99,1,999,11,1,9,3,5,4
279,1,2,3,13,20,2001,2,99,1,28,4,1,9,4,1,1
280,1,2,3,9,12,1212,2,99,1,44,7,1,9,3,3,3
281,1,2,3,0,16,1615,2,99,1,26,4,1,2,4,1,1
282,1,2,3,0,16,1615,2,99,1,28,4,1,9,3,5,1
283,1,2,3,11,2,201,2,99,1,43,7,1,9,7,3,1
284,1,2,3,22,17,1701,2,99,1,30,5,1,9,14,1,3
285,1,2,3,1,14,1406,2,99,9,999,11,9,9,3,1,2
286,2,2,4,8,1,101,1,11,1,36,6,1,2,1,11,1
287,2,2,4,2,1,108,1,6,1,25,4,1,9,3,6,2
288,2,2,4,8,19,1906,2,99,1,29,4,1,9,3,1,1
289,2,2,4,20,6,602,2,99,1,56,10,1,1,3,2,1
290,2,2,4,7,10,1002,2,99,1,77,10,1,1,3,4,1
291,2,2,4,13,2,201,2,99,1,65,10,1,1,9,4,1
292,2,2,4,12,18,1801,2,99,1,36,6,1,1,6,2,1
293,2,2,4,17,18,1801,2,99,1,35,6,1,1,3,2,1
294,2,2,4,18,17,1701,2,99,1,29,4,1,1,1,6,2
295,3,2,5,0,1,110,2,99,1,24,3,1,1,4,6,1
296,3,2,5,18,1,101,2,6,1,26,4,1,1,1,4,1
297,3,2,5,0,11,1101,1,99,1,21,3,1,2,4,1,2
298,3,2,5,0,11,1107,1,99,1,18,2,1,1,4,1,1
299,3,2,5,13,8,801,2,99,1,26,4,1,1,2,2,1
300,3,2,5,0,16,1601,2,99,1,17,2,2,1,4,1,3
301,3,2,5,0,16,1615,2,99,1,29,4,1,2,1,6,1
302,4,2,6,14,1,101,1,1,2,24,3,1,1,5,6,1
303,4,2,6,1,1,101,1,1,1,19,2,1,1,4,5,1
304,4,2,6,1,1,101,1,10,1,20,3,1,1,4,1,2
305,4,2,6,16,20,2001,2,99,1,23,3,1,1,3,6,1
306,4,2,6,0,19,1901,2,99,1,25,4,1,1,6,8,1
307,4,2,6,0,5,501,2,99,1,26,4,1,1,1,3,1
308,4,2,6,9,12,1201,1,3,2,31,5,1,1,4,2,1
309,4,2,6,0,16,1601,1,7,1,26,4,1,2,4,5,1
310,5,2,7,15,20,2001,2,99,2,20,3,1,9,1,9,1
311,5,2,7,12,20,2005,2,99,9,999,11,9,9,3,5,3
312,5,2,7,14,9,901,2,99,1,24,3,1,9,1,5,1
313,5,2,7,14,2,208,2,99,1,24,3,1,9,5,2,2
314,5,2,7,21,2,203,2,99,1,37,6,1,9,5,2,2
315,5,2,7,22,17,1703,2,99,1,28,4,1,9,4,1,2
316,5,2,7,14,17,1701,2,99,1,27,4,1,9,3,5,2
317,5,2,7,4,4,401,2,99,1,24,3,1,9,4,99,2
318,6,2,1,19,1,105,1,99,1,32,5,1,1,2,3,1
319,6,2,1,5,1,101,1,18,1,30,5,1,1,4,3,1
320,6,2,1,11,1,101,1,13,1,20,3,1,9,4,5,1
321,6,2,1,19,1,101,2,13,1,22,3,1,1,2,4,1
322,6,2,1,21,10,1001,2,99,1,30,5,1,9,1,99,3
323,6,2,1,7,9,920,2,99,1,44,7,1,9,3,6,2
324,6,2,1,16,12,1219,2,99,1,63,10,1,9,3,5,2
325,6,2,1,19,13,1305,2,99,1,29,4,1,9,3,2,3
326,6,2,1,13,2,208,2,99,1,44,7,1,9,5,2,1
327,6,2,1,0,18,1801,1,99,1,22,3,1,2,4,10,1
328,6,2,1,7,18,1801,1,99,1,46,8,1,1,4,1,1
329,6,2,1,9,7,701,2,99,1,49,8,1,1,1,3,1
330,6,2,1,18,7,701,2,99,1,59,10,1,1,3,99,1
331,7,2,2,20,1,101,1,7,1,32,5,1,2,2,8,1
332,7,2,2,19,6,602,2,99,1,25,4,1,1,4,5,2
333,7,2,2,23,12,1202,1,4,1,27,4,1,2,1,11,1
334,7,2,2,9,2,201,2,99,1,41,7,1,1,5,2,1
335,7,2,2,15,17,1703,2,99,1,32,5,1,1,4,3,1
336,7,2,2,14,7,706,2,99,1,42,7,1,1,2,4,2
337,7,2,2,12,4,409,2,99,1,49,8,1,1,5,2,1
338,7,2,2,22,4,401,2,99,1,22,3,1,9,4,99,2
339,8,2,3,8,1,101,1,10,1,25,4,1,1,2,5,1
340,8,2,3,11,1,114,1,99,1,77,10,1,1,1,6,1
341,8,2,3,6,1,108,1,5,1,999,11,1,1,3,5,1
342,8,2,3,13,21,2101,2,99,1,40,7,1,2,3,3,2
343,8,2,3,9,19,1905,2,99,1,26,4,1,2,3,1,2
344,8,2,3,17,10,1001,1,2,1,30,5,1,2,2,6,1
345,8,2,3,20,16,1615,1,99,1,35,6,1,2,4,1,1
346,8,2,3,22,15,1508,2,99,2,28,4,1,9,3,1,4
347,8,2,3,21,2,207,2,99,1,34,5,1,9,3,9,1
348,8,2,3,20,18,1801,1,99,1,58,10,1,2,3,4,1
349,8,2,3,12,18,1801,1,99,1,30,5,1,1,4,99,1
350,8,2,3,15,14,1412,1,99,1,38,6,1,2,3,2,1
351,8,2,3,6,7,705,2,99,1,45,8,1,1,5,2,3
352,9,2,4,14,20,2001,2,99,1,47,8,1,1,1,2,1
353,9,2,4,11,19,1901,2,99,1,58,10,1,1,7,2,1
354,9,2,4,14,19,1903,1,99,9,999,11,9,9,4,99,2
355,9,2,4,2,5,501,1,2,1,41,7,1,1,4,3,1
356,9,2,4,6,12,1215,2,99,9,999,11,9,9,4,99,2
357,9,2,4,22,2,201,2,99,9,999,11,9,9,3,99,4
358,9,2,4,14,17,1703,2,99,1,999,11,1,1,3,5,2
359,9,2,4,22,14,1404,2,99,1,28,4,1,9,3,5,1
360,9,2,4,23,4,401,2,99,1,24,3,1,9,4,1,1
361,10,2,5,15,10,1001,2,99,1,30,5,1,9,4,99,1
362,10,2,5,0,11,1101,2,99,1,29,4,1,9,1,9,1
363,10,2,5,20,12,1215,2,99,1,23,3,1,9,1,9,1
364,10,2,5,17,2,207,2,99,2,39,6,1,9,3,3,3
365,10,2,5,17,7,705,2,99,1,40,7,1,9,3,5,4
366,11,2,6,0,1,101,1,1,1,27,4,1,2,1,11,1
367,11,2,6,2,1,108,1,6,1,41,7,1,2,1,4,1
368,11,2,6,22,19,1901,2,99,1,30,5,1,1,4,1,1
369,11,2,6,16,5,501,2,99,1,33,5,1,9,7,6,3
370,11,2,6,18,11,1101,2,99,1,27,4,1,9,6,6,1
371,11,2,6,1,16,1601,2,99,1,30,5,1,9,4,1,1
372,11,2,6,16,14,1401,2,99,1,37,6,1,9,4,1,1
373,11,2,6,10,7,701,2,99,1,27,4,1,9,5,3,1
374,11,2,6,11,7,701,2,99,1,24,3,1,9,1,2,1
375,11,2,6,9,3,301,2,99,9,999,11,9,9,9,3,1
376,12,2,7,0,1,101,1,8,1,29,4,1,9,1,4,1
377,12,2,7,9,1,101,1,6,1,30,5,1,9,1,6,1
378,12,2,7,14,1,110,2,99,1,23,3,1,9,3,5,1
379,12,2,7,21,10,1002,2,99,1,32,5,1,9,3,9,3
380,12,2,7,9,10,1004,2,99,1,37,6,1,9,5,2,1
381,12,2,7,9,9,901,2,99,1,43,7,1,9,3,4,3
382,12,2,7,14,9,920,2,99,1,34,5,1,9,4,1,1
383,12,2,7,17,2,202,2,99,1,35,6,1,9,9,9,4
384,12,2,7,2,7,701,2,99,1,31,5,1,9,5,2,1
385,12,2,7,18,4,401,2,99,1,22,3,1,9,4,3,1
386,13,2,1,11,1,101,1,11,1,21,3,1,9,1,4,1
387,13,2,1,11,1,101,1,19,1,38,6,1,9,1,6,1
388,13,2,1,23,22,2217,2,99,1,40,7,1,9,3,3,1
389,13,2,1,21,20,2001,2,99,1,32,5,1,9,3,4,1
390,13,2,1,23,10,1002,2,99,1,22,3,1,9,1,1,1
391,13,2,1,20,10,1004,2,99,1,20,3,1,9,14,1,1
392,14,2,2,20,1,102,2,99,1,43,7,1,9,2,2,1
393,14,2,2,1,1,108,1,8,1,39,6,1,9,1,6,1
394,14,2,2,21,21,2103,2,99,9,999,11,1,9,3,4,3
395,14,2,2,7,12,1215,2,99,1,40,7,1,9,5,99,3
396,14,2,2,0,16,1601,2,99,1,30,5,1,9,3,1,2
397,14,2,2,18,7,701,2,99,1,38,6,1,9,3,99,1
398,15,2,3,2,9,901,1,5,1,24,3,1,9,1,14,2
399,15,2,3,14,8,803,2,99,9,999,11,9,9,5,2,1
